          64
-10.5 -10.5    0.00230945      0.90492960
-10.5  -9.5    0.03963842      0.03265750
 -9.5 -10.5   -0.00163879      0.08538464
 -9.5  -9.5    0.03569018      0.17409806
 -9.5  -8.5    0.04177830      0.07269068
 -8.5  -9.5    0.03168203      0.03910331
 -8.5  -8.5    0.03777016      0.19673778
 -8.5  -7.5    0.04278500      0.11440006
 -7.5  -8.5    0.03369926      0.07901158
 -7.5  -7.5    0.03871410      0.18124571
 -7.5  -6.5    0.04307890      0.15548224
 -6.5  -7.5    0.03457737      0.11866481
 -6.5  -6.5    0.03894217      0.15165577
 -6.5  -5.5    0.04285874      0.19472061
 -5.5  -6.5    0.03473625      0.15693512
 -5.5  -5.5    0.03865282      0.11739613
 -5.5  -4.5    0.04223613      0.23129356
 -4.5  -5.5    0.03437405      0.19298496
 -4.5  -4.5    0.03795736      0.08339353
 -4.5  -3.5    0.04128031      0.26456160
 -3.5  -4.5    0.03360176      0.22614699
 -3.5  -3.5    0.03692471      0.05273632
 -3.5  -2.5    0.04003694      0.29397897
 -2.5  -3.5    0.03248789      0.25585046
 -2.5  -2.5    0.03560013      0.02763281
 -2.5  -1.5    0.03853728      0.31904893
 -1.5  -2.5    0.03107727      0.28157870
 -1.5  -1.5    0.03401443      0.00983051
 -1.5  -0.5    0.03680309      0.33929760
 -0.5  -1.5    0.02940021      0.30284250
 -0.5  -0.5    0.03218888      0.00082790
 -0.5   0.5    0.03484953      0.35425621
  0.5  -0.5    0.02747739      0.31916158
  0.5   0.5    0.03013804      0.00199513
  0.5   1.5    0.03268684      0.36344747
  1.5   0.5    0.02532270      0.33005001
  1.5   1.5    0.02787150      0.01465152
  1.5   2.5    0.03032146      0.36637371
  2.5   1.5    0.02294492      0.33500350
  2.5   2.5    0.02539488      0.04012180
  2.5   3.5    0.02775670      0.36250522
  3.5   2.5    0.02034876      0.33348691
  3.5   3.5    0.02271057      0.07978296
  3.5   4.5    0.02499311      0.35126776
  4.5   3.5    0.01753548      0.32492076
  4.5   4.5    0.01981802      0.13510855
  4.5   5.5    0.02202877      0.33202819
  5.5   4.5    0.01450322      0.30866570
  5.5   5.5    0.01671397      0.20771580
  5.5   6.5    0.01885931      0.30407705
  6.5   5.5    0.01124712      0.28400336
  6.5   6.5    0.01339246      0.29942044
  6.5   7.5    0.01547787      0.26660644
  7.5   6.5    0.00775925      0.25011197
  7.5   7.5    0.00984466      0.41230493
  7.5   8.5    0.01187490      0.21868134
  8.5   7.5    0.00402836      0.20603395
  8.5   8.5    0.00605860      0.54880764
  8.5   9.5    0.00803783      0.15920091
  9.5   8.5    0.00003943      0.15063163
  9.5   9.5    0.00201866      0.71184423
  9.5  10.5    0.00395054      0.08684527
 10.5   9.5   -0.00422705      0.08252481
 10.5  10.5   -0.00229517      0.90497856
