          30
 -4.5  -5.5    0.00000898      0.36546604
 -4.5  -4.5    0.00024419      0.06122443
 -4.5  -3.5    0.00047617      0.00563518
 -3.5  -4.5   -0.00002710      0.03929104
 -3.5  -3.5    0.00020488      0.01119757
 -3.5  -2.5    0.00043376      0.00125548
 -2.5  -3.5   -0.00006654      0.03226601
 -2.5  -2.5    0.00016234      0.01650969
 -2.5  -1.5    0.00038824      0.00306818
 -1.5  -2.5   -0.00010922      0.03329716
 -1.5  -1.5    0.00011668      0.02668741
 -1.5  -0.5    0.00033972      0.00748122
 -0.5  -1.5   -0.00015502      0.00486228
 -0.5  -0.5    0.00006802      0.00480196
 -0.5   0.5    0.00028830      0.00154270
  0.5  -0.5   -0.00020382      0.02125704
  0.5   0.5    0.00001646      0.05324660
  0.5   1.5    0.00023408      0.04540193
  1.5   0.5   -0.00025551      0.00187422
  1.5   1.5   -0.00003789      0.00536275
  1.5   2.5    0.00017717      0.00548441
  2.5   1.5   -0.00030999      0.00111674
  2.5   2.5   -0.00009494      0.00234228
  2.5   3.5    0.00011764      0.00138484
  3.5   2.5   -0.00036718      0.00192606
  3.5   3.5   -0.00015460      0.01177449
  3.5   4.5    0.00005558      0.02999839
  4.5   3.5   -0.00042699      0.00306215
  4.5   4.5   -0.00021680      0.03074871
  4.5   5.5   -0.00000892      0.16973780
